,資治通鑒_单字,num
0,之,66251
1,以,39807
2,為,35751
3,不,34461
4,王,21618
5,曰,21332
6,其,20145
7,人,19101
8,將,18230
9,軍,18126
10,使,17265
11,州,16196
12,大,16042
13,子,15763
14,而,15591
15,上,15266
16,兵,14786
17,者,12856
18,有,12565
19,也,12531
20,下,12319
21,中,12270
22,於,12060
23,太,11743
24,自,11317
25,！,10764
26,所,10597
27,與,10548
28,事,10334
29,月,10286
30,至,10124
31,皆,9434
32,帝,9428
33,無,8709
34,十,8572
35,城,8521
36,于,8198
37,遣,8073
38,三,7858
39,臣,7797
40,史,7754
41,可,7678
42,二,7648
43,公,7544
44,天,7503
45,安,7382
46,書,7341
47,等,7279
48,言,7277
49,主,7271
50,國,7249
51,及,7172
52,乃,7119
53,得,7096
54,是,6956
55,南,6943
56,諸,6841
57,一,6831
58,西,6826
59,相,6804
60,萬,6535
61,行,6534
62,欲,6502
63,東,6473
64,今,6343
65,陽,6336
66,出,6315
67,守,6232
68,從,6176
69,令,6065
70,入,6054
71,魏,6048
72,李,6015
73,元,6005
74,未,5914
75,平,5907
76,士,5899
77,後,5891
78,年,5855
79,何,5706
80,道,5706
81,都,5600
82,眾,5558
83,武,5510
84,餘,5484
85,日,5455
86,百,5422
87,度,5370
88,此,5342
89,複,5330
90,數,5274
91,司,5256
92,馬,5239
93,知,5222
94,節,5165
95,長,5131
96,殺,5109
97,刺,5099
98,五,4993
99,皇,4951
100,如,4928
101,官,4914
102,死,4890
103,能,4872
104,千,4832
105,還,4813
106,又,4786
107,朝,4684
108,請,4657
109,聞,4600
110,文,4571
111,謂,4543
112,則,4508
113,故,4507
114,河,4457
115,四,4435
116,民,4431
117,在,4416
118,詔,4352
119,北,4343
120,尚,4340
121,時,4279
122,見,4134
123,山,4077
124,命,4053
125,高,4037
126,德,4034
127,立,4012
128,然,3966
129,張,3919
130,進,3914
131,騎,3906
132,侍,3882
133,當,3874
134,已,3871
135,擊,3841
136,左,3834
137,歸,3826
138,門,3792
139,宗,3782
140,用,3776
141,先,3769
142,攻,3755
143,矣,3718
144,必,3696
145,劉,3671
146,成,3647
147,遂,3635
148,若,3628
149,前,3621
150,吾,3587
151,同,3585
152,明,3563
153,漢,3552
154,亦,3525
155,義,3514
156,侯,3478
157,內,3468
158,多,3457
159,世,3439
160,右,3412
161,戰,3410
162,帥,3404
163,來,3388
164,師,3359
165,非,3326
166,降,3325
167,秦,3311
168,君,3251
169,方,3223
170,郡,3198
171,卒,3186
172,后,3170
173,外,3159
174,宜,3150
175,常,3134
176,光,3125
177,夫,3120
178,陳,3115
179,？,3113
180,家,3103
181,部,3103
182,宮,3088
183,弟,3074
184,忠,3014
185,鎮,3012
186,陵,2995
187,我,2973
188,正,2972
189,心,2949
190,奏,2941
191,郎,2940
192,六,2935
193,卿,2914
194,引,2864
195,建,2855
196,發,2839
197,重,2805
198,因,2789
199,留,2774
200,既,2761
201,甲,2749
202,孫,2737
203,地,2720
204,趙,2692
205,破,2691
206,敗,2667
207,江,2667
208,功,2633
209,生,2629
210,會,2620
211,周,2616
212,斬,2605
213,並,2595
214,賊,2581
215,尉,2578
216,盡,2572
217,初,2567
218,謀,2555
219,己,2537
220,七,2524
221,去,2520
222,且,2518
223,乎,2516
224,陛,2516
225,稱,2513
226,取,2505
227,齊,2500
228,孝,2479
229,吏,2466
230,求,2465
231,吳,2457
232,罪,2428
233,府,2412
234,定,2404
235,衛,2390
236,許,2374
237,氏,2370
238,威,2364
239,親,2362
240,討,2339
241,敢,2333
242,水,2333
243,楊,2323
244,八,2323
245,禮,2298
246,受,2295
247,九,2282
248,即,2275
249,密,2269
250,興,2267
251,問,2267
252,晉,2261
253,居,2244
254,名,2236
255,雖,2234
256,食,2231
257,丁,2213
258,賜,2211
259,信,2191
260,封,2184
261,政,2182
262,延,2178
263,章,2175
264,置,2172
265,議,2166
266,意,2165
267,奉,2151
268,耳,2143
269,夏,2118
270,舉,2101
271,法,2093
272,分,2092
273,甚,2084
274,乙,2084
275,召,2078
276,辛,2068
277,遠,2058
278,亂,2049
279,恐,2047
280,少,2045
281,固,2041
282,廣,2036
283,督,2036
284,始,2030
285,起,2029
286,思,2017
287,申,2004
288,過,1995
289,誅,1989
290,失,1984
291,石,1980
292,表,1972
293,祖,1961
294,征,1959
295,或,1959
296,善,1951
297,京,1947
298,景,1946
299,仁,1940
300,更,1938
301,制,1930
302,走,1912
303,克,1897
304,位,1893
305,益,1892
306,由,1888
307,壬,1875
308,利,1870
309,屯,1869
310,通,1869
311,足,1869
312,金,1858
313,車,1857
314,海,1852
315,營,1836
316,怒,1831
317,雲,1830
318,乘,1830
319,丙,1830
320,唐,1826
321,全,1824
322,力,1824
323,廷,1822
324,反,1819
325,庚,1813
326,戊,1811
327,承,1810
328,宣,1805
329,父,1798
330,悉,1795
331,群,1795
332,梁,1786
333,應,1770
334,小,1765
335,樂,1764
336,望,1760
337,計,1758
338,玄,1752
339,亡,1748
340,往,1746
341,徐,1738
342,加,1733
343,作,1716
344,寇,1715
345,昭,1712
346,禦,1712
347,備,1710
348,權,1708
349,服,1706
350,春,1706
351,告,1701
352,間,1697
353,兄,1691
354,關,1691
355,赦,1688
356,弘,1687
357,豈,1686
358,救,1685
359,代,1685
360,懼,1684
361,癸,1683
362,寅,1678
363,燕,1677
364,白,1666
365,任,1656
366,首,1655
367,難,1645
368,久,1640
369,懷,1635
370,射,1629
371,午,1626
372,勝,1625
373,辰,1624
374,夜,1623
375,邪,1620
376,汝,1617
377,對,1613
378,歲,1605
379,執,1605
380,猶,1605
381,據,1589
